gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
-11,-32,23,-8.2783203125,-5.507714748382568,-1.7322266101837158,21,16,34,-7.842871189117432,4.268359661102295,2.2538087368011475
-2,-38,24,-8.421875,-5.19189453125,-1.3541992902755737,-14,23,27,-7.809375286102295,2.617480516433716,2.5313477516174316
-2,-44,22,-9.752148628234863,-5.301953315734863,-0.24404297769069672,-42,31,9,-10.843164443969727,3.6080079078674316,1.6604492664337158
-20,-51,18,-10.484277725219727,-4.588964939117432,0.88525390625,-12,38,12,-12.876855850219727,3.8903322219848633,-2.2059571743011475
-59,-54,21,-11.35996150970459,-4.18701171875,1.392480492591858,-4,31,-4,-11.74755859375,3.335253953933716,-4.373632907867432
11,-3,10,-9.1875,4.325781345367432,2.7562501430511475,10,28,-17,-8.87168025970459,4.636816501617432,-5.148828029632568
-41,2,-16,-7.220800876617432,5.019629001617432,0.612500011920929,-40,30,-13,-6.713574409484863,4.947851657867432,-2.75146484375
5,1,-31,-7.120312690734863,0.01914062537252903,2.5648438930511475,-9,13,-14,-6.761425971984863,2.665332078933716,-1.727441430091858
14,-6,-19,-9.1875,1.244140625,0.08613281697034836,16,6,-18,-7.637109756469727,4.09130859375,-2.957226514816284
-21,-4,0,-8.8046875,5.378515720367432,0.15312500298023224,-21,3,-4,-8.771191596984863,5.340234279632568,-2.2442383766174316
-29,26,0,-9.120508193969727,0.6220703125,2.4691407680511475,-29,-8,6,-8.8046875,3.459667921066284,-1.1867188215255737
14,41,1,-9.742578506469727,0.0047851563431322575,2.545703172683716,13,-11,10,-8.354883193969727,2.8519532680511475,-2.392578125
15,24,-15,-19.576074600219727,2.1820313930511475,0.07656250149011612,3,-1,-3,-9.83349609375,2.2777345180511475,-3.005078077316284
12,2,0,-11.178125381469727,4.900000095367432,0.6507812738418579,17,11,-11,-9.862207412719727,5.005273342132568,-4.2109375
-111,9,1,-9.704297065734863,5.053124904632568,0.08613281697034836,-51,31,0,-8.436230659484863,5.354589939117432,-2.904589891433716
-117,17,-15,-7.6083984375,0.01914062537252903,0.4306640625,-62,29,0,-7.603613376617432,3.5936524868011475,-1.98583984375
-40,1,-31,-9.240137100219727,0.01914062537252903,0.923535168170929,-39,9,-12,-8.043848037719727,3.1629884243011475,-1.5216797590255737
55,-6,-18,-7.086816310882568,-4.287499904632568,2.27294921875,3,-6,-15,-8.665918350219727,3.4883790016174316,-2.41650390625
62,0,-12,-7.29736328125,-3.6893556118011475,2.4356446266174316,1,-10,-12,-8.718554496765137,4.42626953125,-3.1773438453674316
24,6,-9,-7.072461128234863,-3.51708984375,2.9141602516174316,-18,-13,-4,-8.24960994720459,3.7228517532348633,-3.143847703933716
2,15,-17,-6.742285251617432,-4.124804973602295,2.928515672683716,13,-25,-4,-8.326171875,2.6509766578674316,-2.761035203933716
-1,21,-31,-8.622851371765137,-5.455078125,3.502734422683716,47,-40,-2,-9.85263729095459,2.99072265625,-3.1534180641174316
-2,13,-24,-10.83837890625,-6.038867473602295,3.100781202316284,53,-38,-6,-11.93896484375,1.2776367664337158,-3.4405274391174316
-58,6,-6,-9.83349609375,-8.20654296875,-1.000097632408142,11,-17,-31,-12.135156631469727,3.598437547683716,-1.9092774391174316
-24,29,14,-7.675390720367432,-6.29248046875,-3.555371046066284,-36,4,0,-10.197168350219727,4.526757717132568,4.469336032867432
18,46,25,-6.474316596984863,-5.565136909484863,-1.8662109375,-12,0,21,-7.77587890625,2.502636671066284,4.014746189117432
-11,26,24,-6.967187404632568,-4.78515625,0.3828125,21,-2,19,-7.522265911102295,0.8661133050918579,1.0048828125
-49,6,14,-7.144238471984863,-6.129785060882568,-0.823046863079071,33,2,7,-7.574902534484863,1.7083008289337158,-1.225000023841858
-7,6,4,-7.742383003234863,-6.287695407867432,-1.6413086652755737,2,33,-5,-8.30224609375,2.115039110183716,-1.047949194908142
4,2,-5,-7.785449504852295,-5.569921970367432,-1.703515648841858,-18,12,-7,-9.484179496765137,2.3399415016174316,5.225390911102295
0,0,-7,-7.44091796875,-4.842578411102295,-1.670019507408142,-28,10,-17,-10.292871475219727,2.3399415016174316,1.2537109851837158
-9,0,0,-8.78076171875,-4.95263671875,-1.4738281965255737,7,0,-7,-11.068066596984863,1.095800757408142,-0.3875976502895355
-21,10,16,-8.503222465515137,-5.086621284484863,-2.048046827316284,36,-35,-1,-9.776074409484863,1.4833984375,1.8566406965255737
-11,23,12,-7.589258193969727,-5.589062690734863,-1.72265625,57,-53,-5,-9.1875,2.3495118618011475,2.0289063453674316
-19,8,2,-7.474414348602295,-6.751855373382568,-0.4306640625,20,-46,-6,-8.5654296875,1.8614258766174316,0.4976562559604645
14,5,4,-7.541406631469727,-6.191992282867432,-1.057519555091858,0,-33,-9,-8.053418159484863,1.8375000953674316,0.631640613079071
13,-1,4,-7.833301067352295,-5.976660251617432,-1.53125,5,-26,-4,-8.10605525970459,2.808886766433716,1.368554711341858
17,-5,6,-7.962500095367432,-5.9814453125,-2.0384767055511475,7,-17,6,-8.268750190734863,2.1820313930511475,2.0863282680511475
34,-4,11,-8.043848037719727,-5.378515720367432,-2.1341798305511475,8,-9,10,-7.929004192352295,1.894921898841858,2.378222703933716
21,-16,11,-7.675390720367432,-4.923925876617432,-1.717871069908142,14,-1,13,-7.613183975219727,1.9714844226837158,2.2059571743011475
8,-24,12,-6.995898723602295,-4.938281536102295,-2.10546875,16,5,16,-7.412207126617432,2.1102540493011475,2.067187547683716
0,-30,16,-7.39306640625,-5.019629001617432,-1.8375000953674316,40,12,23,-8.54150390625,3.5218751430511475,2.3160157203674316
-13,-39,17,-9.742578506469727,-5.6943359375,-1.406835913658142,-25,21,25,-11.52744197845459,4.100879192352295,3.923828125
